1995,10,168.2041667
1995,11,168.3708333
1995,12,168.3666667
1996,1,165.7666667
1996,2,164.3916667
1996,3,164.8333333
1996,4,165.5583333
1996,5,164.9541667
1996,6,163.4666667
1996,7,165.6625
1996,8,167.0208333
1996,9,166.0708333
1996,10,168.7875
1996,11,169.05
1996,12,168.1041667
1997,1,171.2166667
1997,2,173.0166667
1997,3,173.1791667
1997,4,172.6
1997,5,172.1541667
1997,6,172.525
1997,7,167.5083333
1997,8,161.6541667
1997,9,162.0791667
1997,10,163.6625
1997,11,164.45
1997,12,163.1291667
1998,1,158.7166667
1998,2,156.1125
1998,3,156.7375
1998,4,157.8041667
1998,5,160.65
1998,6,164.1333333
1998,7,169.7291667
1998,8,177.225
1998,9,179.5416667
1998,10,180.25
1998,11,180.6625
1998,12,182.2125
1999,1,185.3
1999,2,187.1833333
1999,3,188.5083333
1999,4,188.3166667
1999,5,183.3625
1999,6,178.4916667
1999,7,176.5625
1999,8,174.2291667
1999,9,173.4541667
1999,10,169.8541667
1999,11,167.2625
1999,12,165.6666667
2000,1,165.5333333
2000,2,167.5041667
2000,3,165.6
2000,4,165.0041667
2000,5,169.35
2000,6,172.3916667
2000,7,172.95
2000,8,174.2166667
2000,9,174.6958333
2000,10,176.9333333
2000,11,178.8458333
2000,12,179.5458333
2001,1,180.3666667
2001,2,178.9583333
2001,3,180.4708333
2001,4,181.3125
2001,5,176.7083333
2001,6,170.7708333
2001,7,166.4208333
2001,8,165.3666667
2001,9,165.275
2001,10,164.4041667
2001,11,163.9708333
2001,12,164.5125
2002,1,161.6416667
2002,2,159.5708333
2002,3,158.0416667
2002,4,160.8208333
2002,5,165.6083333
2002,6,169.0916667
2002,7,174.3375
2002,8,176.4291667
2002,9,180.2041667
2002,10,184.5958333
2002,11,185.9833333
2002,12,186.0916667
2003,1,188.8875
2003,2,191.5916667
2003,3,191.9916667
2003,4,190.0208333
2003,5,189.4083333
2003,6,189.475
2003,7,185.1041667
2003,8,178.0166667
2003,9,170.5416667
2003,10,167.3
2003,11,167.475
2003,12,167.75
2004,1,167.2041667
2004,2,167.3541667
2004,3,168.8125
2004,4,166.5708333
2004,5,163.5416667
2004,6,165.0958333
2004,7,168.1791667
2004,8,174.25
2004,9,177.2
2004,10,175.6375
2004,11,174.025
2004,12,172.775
2005,1,171.1916667
2005,2,170.2083333
2005,3,171.075
2005,4,175.075
2005,5,180.2
2005,6,180.7291667
2005,7,180.6958333
2005,8,180.7333333
2005,9,181.1708333
2005,10,181.4416667
2005,11,181.1125
2005,12,183.5875
2006,1,187.0333333
2006,2,187.5416667
2006,3,185.0083333
2006,4,180.4
2006,5,175.5875
2006,6,172.9
2006,7,168.5041667
2006,8,165.9083333
2006,9,168.3458333
2006,10,170.6041667
2006,11,172.8958333
2006,12,173.1
2007,1,171.0458333
2007,2,169.6208333
2007,3,171.2791667
2007,4,175.4291667
2007,5,180.2958333
2007,6,183.7416667
2007,7,188.2708333
2007,8,191.6666667
2007,9,189.7041667
2007,10,187.5791667
2007,11,187.3916667
2007,12,187.1458333
2008,1,185.5916667
2008,2,185.0708333
2008,3,183.4416667
2008,4,181.3416667
2008,5,180.3125
2008,6,179.9083333
2008,7,179.5666667
2008,8,176.5125
2008,9,175.1541667
2008,10,176.9
2008,11,176.5125
2008,12,175.2333333
2009,1,174.9041667
2009,2,175.4166667
2009,3,177.3958333
2009,4,177.275
2009,5,173.625
2009,6,170.2708333
2009,7,166.825
2009,8,165.6666667
2009,9,166.9208333
2009,10,165.9791667
2009,11,164.3708333
2009,12,162.9041667
2010,1,163.9583333
2010,2,163.875
2010,3,160.95
2010,4,161.6791667
2010,5,166.4083333
2010,6,170
2010,7,172.5625
2010,8,175.0958333
2010,9,175.7416667
2010,10,174.7625
2010,11,173.325
2010,12,173.8916667
2011,1,173.9458333
2011,2,173.8
2011,3,176.2541667
2011,4,175.9125
2011,5,172.3708333
2011,6,170.9875
2011,7,171.0125
2011,8,169.6458333
2011,9,166.95
2011,10,168.1458333
2011,11,172.1583333
2011,12,174.6291667
2012,1,175.6166667
2012,2,175.6291667
2012,3,175.1083333
2012,4,176.7791667
2012,5,179.4416667
2012,6,179.9416667
2012,7,181.4875
2012,8,186.5333333
2012,9,192.7375
2012,10,192.7125
2012,11,189.1416667
2012,12,186.5208333
2013,1,185.2416667
2013,2,184.7333333
2013,3,182.5666667
2013,4,178.8958333
2013,5,176.2958333
2013,6,177.0291667
2013,7,176.7291667
2013,8,173.6791667
2013,9,169.9041667
2013,10,167.8125
2013,11,166.9583333
2013,12,167.2833333
2014,1,167.1416667
2014,2,168.0916667
2014,3,171.5208333
2014,4,175.4416667
2014,5,178.0041667
2014,6,175.3541667
2014,7,175.0333333
2014,8,177.225
2014,9,177.4041667
2014,10,178.2583333
2014,11,179.0958333
2014,12,179.4708333
2015,1,181.1916667
2015,2,181.4
2015,3,179.4708333
2015,4,178.1
2015,5,175.6583333
2015,6,177.9625
2015,7,177.9083333
2015,8,173.7708333
2015,9,172.5791667
2015,10,173.9916667
2015,11,175.0958333
2015,12,173.4833333
2016,1,173.5125
2016,2,175.1708333
2016,3,174.3791667
2016,4,171.5666667
2016,5,169.3583333
2016,6,166.2458333
2016,7,163.5083333
2016,8,161.2833333
2016,9,158.4333333
2016,10,154.4541667
2016,11,153.3958333
2016,12,156.2125
2017,1,156.6458333
2017,2,154.2041667
2017,3,154.1791667
2017,4,156.6583333
2017,5,163.15
2017,6,170.9833333
2017,7,175.95
2017,8,178.1916667
2017,9,179.0958333
2017,10,180.7291667
2017,11,181.5416667
2017,12,180.075
2018,1,177.8041667
2018,2,176.5875
2018,3,177.0583333
2018,4,176.5541667
2018,5,171.8666667
2018,6,166.1625
2018,7,163.6708333
2018,8,165.6375
2018,9,169.05
2018,10,170.925
2018,11,172.2
2018,12,174.4208333
2019,1,176.0291667
2019,2,178.3916667
2019,3,180.0583333
2019,4,179.8125
2019,5,179.8333333
2019,6,181.0958333
2019,7,181.5
2019,8,179.3083333
2019,9,177.5833333
2019,10,179.0458333
2019,11,181.2291667
2019,12,181.0583333
2020,1,181.7333333
2020,2,182.0166667
2020,3,181.3333333
2020,4,181.3625
2020,5,178.6875
2020,6,174.0583333
